"Folio";"Type";"Date";"Nom fichier transmis";"App Amont Nb piéce";"App Amont Débit";"App Amont Crédit";"SI Finance Nb piece";"SI Finance Débit";"SI Finance Crédit";"Ecarts Nb Piece";"Ecarts Débit";"Ecarts Crédit";"Somme Amont Fichier";"Somme Ecart Fichier";"Montant Interface OA";"Nb Pieces OA";"Montant OA ";"Ecart Nb Piece Calcule";"Ecart Mt Calcule";"Statut Verification"
"CEC";"FOURNISSEURS";"20/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_200726-190717_ST_CEL01_639201712372149857_001";"7";"660345,55";"660345,55";"0";"0";"0";"7";"660345,55";"660345,55";"660345,55";"660345,55";"0";"0";"0";"7";"660345,55";"KO"
"CEE";"FOURNISSEURS";"20/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_200726-190717_ST_CEL01_639201712372149857_001";"162";"214740,35";"214740,35";"0";"0";"0";"162";"214740,35";"214740,35";"214740,35";"214740,35";"0";"0";"0";"162";"214740,35";"KO"
"CEG";"FOURNISSEURS";"20/07/2026";"CEL01_SRC_FACTURESFOURNISSEURS_200726-190717_ST_CEL01_639201712372149857_001";"33";"48020,45";"48020,45";"0";"0";"0";"33";"48020,45";"48020,45";"48020,45";"48020,45";"0";"0";"0";"33";"48020,45";"KO"
"CYC";"CLIENTS";"21/07/2026";"HEF01_SRC_FACTURESCLIENTS_210726-010942_ST_HEF01_639201929824930549_001";"368";"2348360,04";"2348360,04";"0";"0";"0";"368";"2348360,04";"2348360,04";"2348360,04";"2348360,04";"0";"0";"0";"368";"2348360,04";"KO"
"CYC";"CLIENTS";"15/07/2026";"HEF01_SRC_FACTURESCLIENTS_140726-010945_ST_HEF01_639195881859709103_001";"422";"1723074,26";"1723074,26";"418";"1620451,61";"1620451,61";"4";"102622,65";"102622,65";"3446148,52";"1723074,26";"0";"422";"1723074,26";"0";"0,00";"OK"
"CYC";"CLIENTS";"14/07/2026";"HEF01_SRC_FACTURESCLIENTS_140726-010945_ST_HEF01_639195881859709103_001";"422";"1723074,26";"1723074,26";"4";"102622,65";"102622,65";"418";"1620451,61";"1620451,61";"3446148,52";"1723074,26";"0";"422";"1723074,26";"0";"0,00";"OK"
"CYF";"FOURNISSEURS";"21/07/2026";"HEF01_SRC_FACTURESFOURNISSEURS_210726-010958_ST_HEF01_639201929984119462_001";"16";"176396,93";"176396,93";"0";"0";"0";"16";"176396,93";"176396,93";"176396,93";"176396,93";"0";"0";"0";"16";"176396,93";"KO"
"CYF";"FOURNISSEURS";"20/07/2026";"HEF01_SRC_FACTURESFOURNISSEURS_180726-011017_ST_HEF01_639199338171890182_001";"25";"1123145,19";"1123145,19";"22";"425851,59";"425851,59";"3";"697293,6";"697293,6";"1123145,19";"697293,6";"425851,59";"22";"425851,59";"3";"697293,60";"KO"
"FAS";"CLIENTS";"21/07/2026";"FAC02_SRC_FACTURESCLIENTS_210726-005444_ST_FAC02_639201920843637486_001";"3";"120006,51";"120006,51";"0";"0";"0";"3";"120006,51";"120006,51";"120006,51";"120006,51";"0";"0";"0";"3";"120006,51";"KO"
"FAS";"CLIENTS";"17/07/2026";"FAC02_SRC_FACTURESCLIENTS_170726-015646_ST_FAC02_639198502069887139_001";"5071";"1061202,9";"1061202,9";"5070";"1019202,9";"1019202,9";"1";"42000";"42000";"1061202,9";"42000";"35323,55";"5064";"983879,35";"7";"77323,55";"KO"
